H	A	HW	D	HL
Crystal Palace	Arsenal	2	5	3
Fulham	Liverpool	1	1	2
Bournemouth	Aston Villa	2	0	0
Leeds	Wolves	1	1	4
Newcastle	Nott'm Forest	0	0	2
Tottenham	Southampton	6	3	3
Everton	Chelsea	4	3	4
Leicester	Brentford	4	0	0
Man United	Brighton	9	0	3
West Ham	Man City	1	2	8
Aston Villa	Everton	4	2	0
Arsenal	Leicester	6	1	4
Brighton	Newcastle	4	5	1
Man City	Bournemouth	7	0	0
Southampton	Leeds	1	1	2
Wolves	Fulham	4	1	1
Brentford	Man United	0	0	2
Nott'm Forest	West Ham	0	0	0
Chelsea	Tottenham	10	1	4
Liverpool	Crystal Palace	10	0	0
Tottenham	Wolves	5	1	3
Crystal Palace	Aston Villa	2	1	3
Everton	Nott'm Forest	0	0	0
Fulham	Brentford	1	1	4
Leicester	Southampton	7	3	2
Bournemouth	Arsenal	1	1	5
Leeds	Chelsea	0	1	3
West Ham	Brighton	0	6	4
Newcastle	Man City	1	1	9
Man United	Liverpool	2	4	5
Southampton	Man United	0	6	4
Brentford	Everton	2	0	1
Brighton	Leeds	2	2	0
Chelsea	Leicester	5	5	3
Liverpool	Bournemouth	6	0	0
Man City	Crystal Palace	5	3	2
Arsenal	Fulham	3	1	0
Aston Villa	West Ham	0	2	4
Wolves	Newcastle	2	5	1
Nott'm Forest	Tottenham	0	0	0
Crystal Palace	Brentford	0	2	0
Fulham	Brighton	1	3	0
Southampton	Chelsea	1	3	8
Leeds	Everton	1	1	2
Arsenal	Aston Villa	3	0	3
Bournemouth	Wolves	0	1	3
Man City	Nott'm Forest	0	0	0
West Ham	Tottenham	4	2	7
Liverpool	Newcastle	7	3	0
Leicester	Man United	3	3	5
Everton	Liverpool	1	5	6
Brentford	Leeds	2	3	3
Chelsea	West Ham	4	2	4
Newcastle	Crystal Palace	4	3	3
Nott'm Forest	Bournemouth	0	1	3
Tottenham	Fulham	3	1	0
Wolves	Southampton	6	2	2
Aston Villa	Man City	0	0	7
Brighton	Leicester	1	3	8
Man United	Arsenal	4	3	4
Aston Villa	Southampton	2	0	4
Nott'm Forest	Fulham	2	0	4
Wolves	Man City	2	1	6
Newcastle	Bournemouth	3	2	1
Tottenham	Leicester	7	0	3
Brentford	Arsenal	1	0	2
Everton	West Ham	5	1	5
Arsenal	Tottenham	4	2	5
Bournemouth	Brentford	1	0	3
Crystal Palace	Chelsea	1	0	10
Fulham	Newcastle	0	2	2
Liverpool	Brighton	7	2	1
Southampton	Everton	5	2	4
West Ham	Wolves	3	0	5
Man City	Man United	7	1	5
Leeds	Aston Villa	2	3	3
Leicester	Nott'm Forest	0	0	1
Bournemouth	Leicester	2	2	2
Chelsea	Wolves	2	4	2
Man City	Southampton	9	2	1
Newcastle	Brentford	1	1	1
Brighton	Tottenham	3	1	7
Crystal Palace	Leeds	1	1	2
West Ham	Fulham	3	1	0
Arsenal	Liverpool	3	3	9
Everton	Man United	2	4	5
Nott'm Forest	Aston Villa	0	1	3
Brentford	Brighton	0	0	2
Leicester	Crystal Palace	4	2	4
Fulham	Bournemouth	1	2	1
Wolves	Nott'm Forest	2	0	1
Tottenham	Everton	5	4	2
Aston Villa	Chelsea	1	1	5
Leeds	Arsenal	0	1	5
Man United	Newcastle	7	1	2
Southampton	West Ham	3	2	6
Liverpool	Man City	6	4	5
Brighton	Nott'm Forest	0	0	0
Crystal Palace	Wolves	4	1	4
Bournemouth	Southampton	1	3	3
Brentford	Chelsea	1	0	2
Liverpool	West Ham	8	1	1
Newcastle	Everton	4	2	4
Man United	Tottenham	7	1	3
Fulham	Aston Villa	3	0	3
Leicester	Leeds	3	1	1
Nott'm Forest	Liverpool	0	0	1
Everton	Crystal Palace	5	4	2
Man City	Brighton	10	0	1
Chelsea	Man United	3	6	5
Aston Villa	Brentford	0	3	3
Leeds	Fulham	4	1	2
Southampton	Arsenal	3	3	5
Wolves	Leicester	2	3	4
Tottenham	Newcastle	7	2	1
West Ham	Bournemouth	1	3	2
Leicester	Man City	3	0	10
Bournemouth	Tottenham	1	1	4
Brentford	Wolves	1	1	2
Brighton	Chelsea	0	4	6
Crystal Palace	Southampton	3	3	4
Newcastle	Aston Villa	1	2	3
Fulham	Everton	2	0	2
Liverpool	Leeds	3	1	0
Arsenal	Nott'm Forest	1	0	2
Man United	West Ham	7	2	3
Leeds	Bournemouth	0	0	0
Man City	Fulham	7	0	0
Nott'm Forest	Brentford	4	1	3
Wolves	Brighton	2	4	2
Everton	Leicester	5	2	4
Chelsea	Arsenal	4	4	7
Aston Villa	Man United	1	2	4
Southampton	Newcastle	1	3	6
West Ham	Crystal Palace	3	5	2
Tottenham	Liverpool	1	3	7
Man City	Brentford	2	0	0
Bournemouth	Everton	3	1	2
Liverpool	Southampton	9	0	1
Nott'm Forest	Crystal Palace	0	0	0
Tottenham	Leeds	3	0	1
West Ham	Leicester	4	4	2
Newcastle	Chelsea	2	0	9
Wolves	Arsenal	3	2	3
Brighton	Aston Villa	1	2	4
Fulham	Man United	0	1	3
Brentford	Tottenham	0	1	2
Crystal Palace	Fulham	3	1	0
Everton	Wolves	3	1	4
